time,temperature_2m,apparent_temperature,cloud_cover,shortwave_radiation,wind_speed_10m,precipitation
2021-01-01 00:00:00+00:00,1.7666666666666666,-1.3166666666666667,64.33333333333333,0.0,7.8,0.03333333333333333
2021-01-01 01:00:00+00:00,1.5166666666666666,-1.5333333333333332,62.166666666666664,0.0,7.1000000000000005,0.05000000000000001
2021-01-01 02:00:00+00:00,1.3,-1.6666666666666667,53.0,0.0,6.0,0.03333333333333333
2021-01-01 03:00:00+00:00,0.9,-2.216666666666667,40.166666666666664,0.0,6.933333333333334,0.0
2021-01-01 04:00:00+00:00,0.7833333333333332,-2.4166666666666665,37.166666666666664,0.0,7.400000000000001,0.0
2021-01-01 05:00:00+00:00,0.6166666666666668,-2.6166666666666667,36.0,0.0,7.6499999999999995,0.016666666666666666
2021-01-01 06:00:00+00:00,0.6166666666666667,-2.6833333333333336,31.166666666666668,0.0,8.183333333333334,0.03333333333333333
2021-01-01 07:00:00+00:00,0.7166666666666667,-2.6166666666666667,34.666666666666664,5.666666666666667,8.316666666666666,0.016666666666666666
2021-01-01 08:00:00+00:00,1.9166666666666667,-1.5,32.166666666666664,78.0,9.6,0.0
2021-01-01 09:00:00+00:00,3.1666666666666665,-0.3166666666666667,29.333333333333332,166.16666666666666,10.883333333333333,0.0
2021-01-01 10:00:00+00:00,4.5,0.9166666666666666,31.166666666666668,258.3333333333333,12.133333333333333,0.0
2021-01-01 11:00:00+00:00,5.5,1.9166666666666667,46.666666666666664,282.8333333333333,12.549999999999999,0.0
2021-01-01 12:00:00+00:00,5.75,2.0500000000000003,58.0,249.33333333333334,13.450000000000001,0.0
2021-01-01 13:00:00+00:00,5.966666666666666,2.4833333333333334,84.33333333333333,154.0,12.216666666666667,0.0
2021-01-01 14:00:00+00:00,5.716666666666666,2.566666666666667,78.33333333333333,80.66666666666667,10.233333333333334,0.0
2021-01-01 15:00:00+00:00,4.8,1.7333333333333334,87.5,24.0,9.049999999999999,0.0
2021-01-01 16:00:00+00:00,4.466666666666667,1.2166666666666666,91.5,0.0,10.299999999999999,0.0
2021-01-01 17:00:00+00:00,4.366666666666666,1.1333333333333333,88.0,0.0,10.133333333333333,0.0
2021-01-01 18:00:00+00:00,4.1000000000000005,0.8666666666666667,87.16666666666667,0.0,9.816666666666666,0.0
2021-01-01 19:00:00+00:00,3.65,0.4833333333333334,84.5,0.0,8.983333333333333,0.0
2021-01-01 20:00:00+00:00,2.9166666666666665,-0.3166666666666667,88.66666666666667,0.0,8.783333333333333,0.0
2021-01-01 21:00:00+00:00,2.5833333333333335,-0.65,91.66666666666667,0.0,8.583333333333334,0.0
2021-01-01 22:00:00+00:00,2.5333333333333337,-0.8166666666666668,90.66666666666667,0.0,9.049999999999999,0.0
2021-01-01 23:00:00+00:00,2.35,-1.0333333333333334,69.83333333333333,0.0,9.35,0.0
2021-01-02 00:00:00+00:00,2.3333333333333335,-1.1666666666666667,84.66666666666667,0.0,9.683333333333334,0.0
2021-01-02 01:00:00+00:00,1.95,-1.6000000000000003,91.66666666666667,0.0,9.866666666666667,0.0
2021-01-02 02:00:00+00:00,1.9666666666666668,-1.5999999999999999,83.66666666666667,0.0,9.683333333333334,0.0
2021-01-02 03:00:00+00:00,1.8333333333333333,-1.7,93.66666666666667,0.0,8.983333333333333,0.0
2021-01-02 04:00:00+00:00,1.8333333333333333,-1.6500000000000001,95.83333333333333,0.0,8.75,0.049999999999999996
2021-01-02 05:00:00+00:00,1.6166666666666665,-1.9333333333333333,96.5,0.0,9.049999999999999,0.18333333333333335
2021-01-02 06:00:00+00:00,1.4333333333333333,-2.2666666666666666,94.16666666666667,0.0,10.166666666666666,0.0
2021-01-02 07:00:00+00:00,1.5833333333333333,-2.1166666666666667,82.0,6.333333333333333,10.233333333333333,0.0
2021-01-02 08:00:00+00:00,3.1666666666666665,-0.5,57.666666666666664,78.83333333333333,10.866666666666667,0.0
2021-01-02 09:00:00+00:00,4.95,1.4333333333333333,52.666666666666664,181.0,10.716666666666667,0.0
2021-01-02 10:00:00+00:00,6.3999999999999995,2.85,56.833333333333336,251.83333333333334,11.416666666666666,0.0
2021-01-02 11:00:00+00:00,7.566666666666667,4.1000000000000005,84.33333333333333,279.6666666666667,11.299999999999999,0.0
2021-01-02 12:00:00+00:00,7.616666666666667,4.3999999999999995,87.33333333333333,264.8333333333333,10.766666666666666,0.0
2021-01-02 13:00:00+00:00,7.816666666666666,4.683333333333334,92.83333333333333,195.66666666666666,10.65,0.0
2021-01-02 14:00:00+00:00,6.883333333333333,3.6166666666666667,90.5,114.16666666666667,11.65,0.0
2021-01-02 15:00:00+00:00,5.416666666666667,1.7833333333333332,96.5,32.0,13.25,0.0
2021-01-02 16:00:00+00:00,4.966666666666667,1.0666666666666667,95.83333333333333,0.0,14.266666666666666,0.0
2021-01-02 17:00:00+00:00,4.716666666666667,0.75,97.0,0.0,14.300000000000002,0.0
2021-01-02 18:00:00+00:00,4.483333333333333,0.5,94.66666666666667,0.0,14.166666666666666,0.0
2021-01-02 19:00:00+00:00,4.333333333333333,0.3333333333333333,89.0,0.0,14.200000000000001,0.08333333333333333
